records=3337 sumC=272 174 828 sumU=399 389 223 dataStart=0x1C7703
DATA\events\4_s05_endgame.lua	390	390	0xA1061A	9F5B5A40
DATA\events\4_s06_1933.lua	219	219	0xA107A0	E9DC114C
DATA\events\4_s06_1937_1.lua	328	328	0xA1087B	1FA5D040
DATA\events\4_s06_1937_2.lua	213	213	0xA109C3	968C5452
DATA\events\4_s06_1939_1.lua	576	576	0xA10A98	9DFE07CD
DATA\events\4_s06_1939_2.lua	686	686	0xA10CD8	57E639C4
DATA\events\4_s06_1941_1.lua	202	202	0xA10F86	6B6ED217
DATA\events\4_s06_1941_2.lua	221	221	0xA11050	359E208D
DATA\events\4_s06_1945_1.lua	189	189	0xA1112D	44E89C1F
DATA\events\4_s06_1945_2.lua	233	233	0xA111EA	7A384D78
DATA\events\4_s06_1945_3.lua	218	218	0xA112D3	9BA95D04
DATA\events\4_s06_1949.lua	223	223	0xA113AD	71125AED
DATA\events\4_s06_1950.lua	56	56	0xA1148C	D7B13837
DATA\events\4_s06_1952.lua	60	60	0xA114C4	5373CD77
DATA\events\4_s06_1955.lua	243	243	0xA11500	77363488
DATA\events\4_s06_1960.lua	55	55	0xA115F3	8220E540
DATA\events\4_s06_1962.lua	224	224	0xA1162A	0A93FB63
DATA\events\4_s06_1965.lua	211	211	0xA1170A	44E78651
DATA\events\4_s06_endgame.lua	371	371	0xA117DD	7186A8C3
DATA\events\4_s07_endgame.lua	396	396	0xA11950	A04E9423
DATA\events\4_s07_incgrowth_end.lua	68	68	0xA11ADC	AD4B443D
DATA\events\4_s07_incgrowth_start.lua	70	70	0xA11B20	BABC1BA2
DATA\events\4_s08_endgame.lua	331	331	0xA11B66	12F50D3F
DATA\events\4_s09_endgame.lua	4	4	0xA11CB1	9F2E1673
DATA\events\4_s10_endgame.lua	631	631	0xA11CB5	C59C41B6
DATA\events\4_s11_endgame.lua	282	282	0xA11F2C	285C4D34
DATA\events\4_s11_lock.lua	517	517	0xA12046	71A93123
DATA\events\4_s11_unlock_01.lua	280	280	0xA1224B	C26BFE3B
DATA\events\4_s11_unlock_02.lua	276	276	0xA12363	23720387
DATA\events\4_s11_unlock_03.lua	280	280	0xA12477	50B733BF
DATA\events\4_s11_unlock_04.lua	276	276	0xA1258F	A253DA85
DATA\events\4_s11_unlock_05.lua	276	276	0xA126A3	5C6D4B79
DATA\events\4_s11_unlock_06.lua	280	280	0xA127B7	8B0598F9
DATA\events\4_s11_unlock_07.lua	280	280	0xA128CF	73114875
DATA\events\4_s11_unlock_08.lua	280	280	0xA129E7	E000809F
DATA\events\4_s11_unlock_09.lua	276	276	0xA12AFF	B458FCB0
DATA\events\4_s11_unlock_10.lua	280	280	0xA12C13	6E07491E
DATA\events\4_s11_unlock_11.lua	280	280	0xA12D2B	1F0518B8
DATA\events\4_s11_unlock_12.lua	280	280	0xA12E43	8DD9D53C
DATA\events\4_s11_unlock_13.lua	280	280	0xA12F5B	3D6E661C
DATA\events\4_s11_unlock_14.lua	280	280	0xA13073	E6DCCD5A
DATA\events\4_s11_unlock_15.lua	280	280	0xA1318B	C4B7B3FE
DATA\events\4_s11_unlock_16.lua	276	276	0xA132A3	855FFF3C
DATA\events\4_s11_unlock_17.lua	276	276	0xA133B7	047E263E
DATA\events\4_s11_unlock_18.lua	276	276	0xA134CB	CB47B44E
DATA\events\4_s12_endgame.lua	241	241	0xA135DF	3AB59EB0
DATA\events\4_s13_endgame.lua	240	240	0xA136D0	25171D54
DATA\events\4_s14_endgame.lua	242	242	0xA137C0	DC3F336D
DATA\events\4_s15_endgame.lua	311	311	0xA138B2	9BA12DC3
DATA\events\4_s16_endgame.lua	287	287	0xA139E9	3D29099D
DATA\events\4_s17_endgame.lua	223	223	0xA13B08	F785D461
DATA\events\4_s18_endgame.lua	245	245	0xA13BE7	04787F1B
DATA\events\4_sx_3daydebet.lua	162	162	0xA13CDC	8703EC90
DATA\events\5_t00_theft.lua	178	178	0xA13D7E	97973CA8
DATA\events\5_t01_disaster.lua	270	270	0xA13E30	50ED435A
DATA\events\5_t02_nav_problems.lua	145	145	0xA13F3E	AC8C979C
DATA\events\5_t03_hurricane.lua	176	176	0xA13FCF	6A81BF0F
DATA\events\5_t04_tech_problems.lua	177	177	0xA1407F	BDA8C3D8
DATA\events\5_t05_destroy.lua	127	127	0xA14130	9543BCCE
DATA\events\5_t06_sink.lua	160	160	0xA141AF	4D22A019
DATA\events\6_d01_police_raid.lua	132	132	0xA1424F	CD9579A2
DATA\events\6_d09_explosion.lua	128	128	0xA142D3	1274D866
DATA\events\6_d10_flight.lua	148	148	0xA14353	C2E7DDD1
DATA\events\6_d15_politics.lua	127	127	0xA143E7	BC8BD1FB
DATA\events\6_d19_productions.lua	127	127	0xA14466	C21EFA2E
DATA\events\6_d21_burn.lua	122	122	0xA144E5	F2D96F9E
DATA\events\7_c02_water.lua	138	138	0xA1455F	AAFABA96
DATA\events\7_d00_cutters.lua	137	137	0xA145E9	4125DEE8
DATA\events\7_d06_drill_break.lua	130	130	0xA14672	255BED1A
DATA\events\7_d08_new_costs.lua	138	138	0xA146F4	D7A86837
DATA\events\7_d14_new_parts.lua	138	138	0xA1477E	91F3E78D
DATA\events\7_d16_bad_luck.lua	128	128	0xA14808	BF8FDBF4
DATA\events\7_d17_trial_drills.lua	147	147	0xA14888	46D86983
DATA\events\7_d18_storms.lua	120	120	0xA1491B	B56385AC
DATA\events\7_d20_problems.lua	120	120	0xA14993	01A1FB6C
DATA\events\s01_01_2_burn_tower.lua	406	406	0xA14A0B	8E88B9EF
DATA\events\s01_02_0_tax_updown.lua	2345	2345	0xA14BA1	59666C5C
DATA\events\s01_04_0_price_rise.lua	232	232	0xA154CA	5181F030
DATA\events\s01_05_0_chile_close.lua	286	286	0xA155B2	21E92B66
DATA\events\s01_06_0_chile_open.lua	281	281	0xA156D0	82993D7C
DATA\events\s01_07_0_war_over.lua	287	287	0xA157E9	1575B3A2
DATA\events\s01_08_0_price_rise.lua	244	244	0xA15908	845E4391
DATA\events\s02_01_0_mexico_close.lua	296	296	0xA159FC	CDD8F415
DATA\events\s02_02_0_mexico_open.lua	306	306	0xA15B24	5479EAF8
DATA\events\s02_03_0_nigeria_not_safe.lua	304	304	0xA15C56	D1EC6243
DATA\events\s02_04_0_nigeria_attacked.lua	122	122	0xA15D86	B17ADFCF
DATA\events\s02_05_0_nigeria_safe.lua	297	297	0xA15E00	C720134E
DATA\events\s02_06_0_france_attack.lua	268	268	0xA15F29	D20CF077
DATA\events\s02_07_0_atlantic_war_start.lua	308	308	0xA16035	744AF0EC
